id,title,authors,subjects,bookshelves,summary,download_count,reading_ease_score,issued,cover_image,text_url,source_url,removed_from_catalog
11,Alice's Adventures in Wonderland,"Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature,"""Alice's Adventures in Wonderland"" by Lewis Carroll is a children's novel published in 1865. When a curious girl named Alice spots a White Rabbit with a pocket watch, she tumbles down a rabbit hole into an extraordinary fantasy world filled with peculiar anthropomorphic creatures. This pioneering work of literary nonsense plays with logic and language, creating a whimsical tale that delights both children and adults. Illustrated by John Tenniel, it helped transform children's literature from didactic instruction to pure entertainment. (This is an automatically generated summary.)",82955,87.50,2008-06-27T00:00:00.000Z,https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,https://www.gutenberg.org/files/11/11.txt,https://www.gutenberg.org/ebooks/11,
12,Through the Looking-Glass,"Carroll, Lewis",Alice (Fictitious character from Carroll) -- Juvenile fiction; Children's stories; Fantasy fiction; Imaginary places -- Juvenile fiction,Best Books Ever Listings; Category: British Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Literature,"""Through the Looking-Glass"" by Lewis Carroll is a novel published in 1871. When Alice climbs through a mirror into a fantastical world, she discovers everything is reversed—including logic itself. In this chess-themed realm, running keeps you stationary, walking away brings you closer, and nursery-rhyme characters come alive. Alice encounters peculiar beings including the severe Red Queen, quarrelsome twins Tweedledum and Tweedledee, and the opinionated Humpty Dumpty. Like its beloved predecessor, this sequel blends absurdist adventure with unforgettable imagery and phrases that remain part of our language today. (This is an automatically generated summary.)",13717,90.20,2008-06-25T00:00:00.000Z,https://www.gutenberg.org/cache/epub/12/pg12.cover.medium.jpg,https://www.gutenberg.org/files/12/12.txt,https://www.gutenberg.org/ebooks/12,
13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis","Nonsense verses, English",Category: British Literature; Category: Classics of Literature; Category: Humour; Category: Poetry; Children's Literature,"""The Hunting of the Snark: An Agony in Eight Fits"" by Lewis Carroll is a nonsense poem written between 1874 and 1876. A crew of ten peculiar characters embarks on an absurd quest to hunt the mysterious Snark, guided only by a blank map. Their journey becomes increasingly strange as they encounter fantastical creatures and face a terrifying possibility: the Snark might actually be a deadly Boojum. When one crew member finally discovers their quarry, he vanishes without a trace, confirming their darkest fears. (This is an automatically generated summary.)",2432,74.00,2008-06-25T00:00:00.000Z,https://www.gutenberg.org/cache/epub/13/pg13.cover.medium.jpg,https://www.gutenberg.org/files/13/13.txt,https://www.gutenberg.org/ebooks/13,
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,"Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.; World politics -- Handbooks, manuals, etc.",Category: Economics; Category: Encyclopedias/Dictionaries/Reference; Category: Politics; CIA World Factbooks,"""The 1990 CIA World Factbook"" by the United States Central Intelligence Agency is an information-rich reference book produced for governmental use, published in the late 20th century. It provides detailed statistics and descriptions of countries and territories, including geographical data, demographic information, economic indicators, and political structures, organized for all 249 recognized entities during that period.  The beginning of the publication outlines the structure and purpose of the factbook, specifically catering to the needs of U.S. government officials. The introductory sections explain the format and content adjustments made since previous editions, laying a foundation for understanding each included nation's unique features. For instance, the facts provided for countries like Afghanistan, Albania, and Algeria introduce vital statistics about their geography, populations, economies, and government types, highlighting historical contexts such as Afghanistan's civil war and Algeria's reliance on oil exports. This serves as a fundamental resource for policy-making and research related to international relations and comparative studies in the political and economic landscape. (This is an automatically generated summary.)",2557,28.20,1991-04-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/14/pg14.cover.medium.jpg,https://www.gutenberg.org/files/14/14.txt,https://www.gutenberg.org/ebooks/14,
15,"Moby-Dick; or, The Whale","Melville, Herman","Adventure stories; Ahab, Captain (Fictitious character) -- Fiction; Mentally ill -- Fiction; Psychological fiction; Sea stories; Ship captains -- Fiction; Whales -- Fiction; Whaling -- Fiction; Whaling ships -- Fiction",Adventure; Best Books Ever Listings; Category: Adventure; Category: American Literature; Category: Classics of Literature; Category: Novels,"""Moby-Dick; or, The Whale"" by Herman Melville is an epic novel published in 1851. Sailor Ishmael narrates the obsessive quest of Captain Ahab, who commands the whaling ship Pequod in pursuit of Moby Dick, the white whale that destroyed his leg. Driven by vengeance, Ahab leads his diverse crew across the world's oceans, hunting the legendary creature. This tale of obsession explores themes of good and evil, fate, and humanity's struggle against nature's overwhelming power. (This is an automatically generated summary.)",2869,73.40,1991-05-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/15/pg15.cover.medium.jpg,https://www.gutenberg.org/files/15/15.txt,https://www.gutenberg.org/ebooks/15,
16,Peter Pan : $b [Peter and Wendy],"Barrie, J. M. (James Matthew)",Fairies -- Fiction; Fantasy literature; Never-Never Land (Imaginary place) -- Fiction; Peter Pan (Fictitious character) -- Fiction; Pirates -- Fiction,Category: Adventure; Category: British Literature; Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Novels; Children's Literature; Movie Books,"""Peter Pan: [Peter and Wendy]"" by J. M. Barrie is a work that began as a play in 1904 and became a novel in 1911. It tells the story of Peter Pan, a mischievous boy who can fly and never grows up. He whisks Wendy Darling and her brothers away to Neverland, a magical island inhabited by mermaids, fairies, and pirates. There, they encounter the Lost Boys and face off against the villainous Captain Hook, all while navigating adventures that blur the line between childhood wonder and danger. (This is an automatically generated summary.)",31190,89.70,2008-06-25T00:00:00.000Z,https://www.gutenberg.org/cache/epub/16/pg16.cover.medium.jpg,https://www.gutenberg.org/files/16/16.txt,https://www.gutenberg.org/ebooks/16,
17,"The Book of Mormon : $b an account written by the hand of Mormon, upon plates taken from the plates of Nephi","Smith, Joseph, Jr.; Church of Jesus Christ of Latter-day Saints",Church of Jesus Christ of Latter-day Saints -- Sacred books; Latter Day Saint churches -- Sacred books,"Category: Mythology, Legends & Folklore; Category: Religion/Spirituality; Christianity; Latter Day Saints","""The Book of Mormon: an account written by the hand of Mormon, upon plates…"" is a religious text first published in 1830 by Joseph Smith. According to Smith, the book was translated from golden plates revealed by an angel, chronicling ancient peoples led from Jerusalem to the Americas. The text centers on an appearance of Jesus Christ in the Americas after his resurrection, containing teachings on atonement, baptism, and priesthood authority. Its origins remain contested between faith-based and scholarly interpretations. (This is an automatically generated summary.)",2747,68.70,2008-06-25T00:00:00.000Z,https://www.gutenberg.org/cache/epub/17/pg17.cover.medium.jpg,https://www.gutenberg.org/files/17/17.txt,https://www.gutenberg.org/ebooks/17,
18,The Federalist Papers,"Hamilton, Alexander; Jay, John; Madison, James",Constitutional history -- United States -- Sources; Constitutional law -- United States,"Category: Essays, Letters & Speeches; Category: History - American; Category: Politics; Politics","""The Federalist Papers"" by Alexander Hamilton, John Jay, and James Madison is a collection of 85 essays written between 1787-1788. Published under the pseudonym ""Publius,"" these articles aimed to persuade New York voters to ratify the proposed Constitution of the United States. The essays tackle fundamental questions about governance, from preventing tyranny of the majority to establishing checks and balances. They address whether societies can create good government through reason and choice, or must rely on accident and force. This defense of the Constitution became a landmark work in political science. (This is an automatically generated summary.)",2424,38.40,1991-08-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/18/pg18.cover.medium.jpg,https://www.gutenberg.org/files/18/18.txt,https://www.gutenberg.org/ebooks/18,
19,The Song of Hiawatha,"Longfellow, Henry Wadsworth","Hiawatha, active 15th century -- Poetry; Indians of North America -- Poetry; Iroquois Indians -- Kings and rulers -- Poetry","Category: American Literature; Category: Mythology, Legends & Folklore; Category: Poetry; Children's Literature; Native America; Poetry","""The Song of Hiawatha"" by Henry Wadsworth Longfellow is an epic poem published in 1855. Written in trochaic tetrameter, it tells the fictional adventures of Ojibwe warrior Hiawatha and his tragic love for Minnehaha, a Dakota woman. Set near Lake Superior's Pictured Rocks, the poem follows Hiawatha from childhood through heroic deeds including slaying an evil magician, inventing written language, and discovering corn. The story culminates with the arrival of Christian missionaries and Hiawatha's mysterious departure westward into the sunset. (This is an automatically generated summary.)",2369,66.30,2004-06-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/19/pg19.cover.medium.jpg,https://www.gutenberg.org/files/19/19.txt,https://www.gutenberg.org/ebooks/19,
20,Paradise Lost,"Milton, John",Adam (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry; Eve (Biblical figure) -- Poetry; Fall of man -- Poetry,Banned Books from Anne Haight's list; Category: British Literature; Category: Classics of Literature; Category: Poetry; Poetry,"""Paradise Lost"" by John Milton is an epic poem published in 1667. It retells the biblical story of humanity's fall: Satan's rebellion against God, his expulsion to Hell, and his vengeful plot to corrupt God's newest creation—mankind. Through the temptation of Adam and Eve in the Garden of Eden, Milton explores profound themes of free will, disobedience, and redemption. The poem features one of literature's most complex villains in Satan, while seeking to ""justify the ways of God to men."" (This is an automatically generated summary.)",18284,45.70,1991-10-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/20/pg20.cover.medium.jpg,https://www.gutenberg.org/files/20/20.txt,https://www.gutenberg.org/ebooks/20,
21,Three hundred Aesop’s fables: Translated by George Fyler Townsend,Aesop,"Aesop's fables -- Translations into English; Fables, Greek -- Translations into English","Category: Classics of Literature; Category: Mythology, Legends & Folklore","""Three Hundred Aesop's Fables"" by Aesop is a collection of fables originating between 620 and 564 BCE. These timeless tales feature talking animals, plants, and humans navigating moral dilemmas and life lessons. Originally part of oral tradition, the stories were collected centuries after Aesop's death and grew to include works from diverse sources across cultures. Each brief narrative offers wisdom through simple scenarios, often concluding with explicit morals that have shaped ethical thinking for millennia. (This is an automatically generated summary.)",17111,74.00,2008-06-25T00:00:00.000Z,https://www.gutenberg.org/cache/epub/21/pg21.cover.medium.jpg,https://www.gutenberg.org/files/21/21.txt,https://www.gutenberg.org/ebooks/21,
22,Roget's Thesaurus,"Roget, Peter Mark",English language -- Synonyms and antonyms,Category: Encyclopedias/Dictionaries/Reference; Reference,"""Roget's Thesaurus"" by Peter Mark Roget is a reference work first published in 1852. Roget, a British physician and lexicographer, created this revolutionary system of verbal classification to help writers struggling with composition. Rather than arranging words alphabetically, his thesaurus organizes them into six primary classes with over a thousand meaning clusters, grouping words by semantic relationships and conceptual connections. Originally containing 15,000 words, the work has expanded through successive editions while maintaining Roget's foundational organizational system, becoming one of the most widely used English-language reference tools. (This is an automatically generated summary.)",2834,50.20,1991-12-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/22/pg22.cover.medium.jpg,https://www.gutenberg.org/files/22/22.txt,https://www.gutenberg.org/ebooks/22,
23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","Abolitionists -- United States -- Biography; African American abolitionists -- Biography; Douglass, Frederick, 1818-1895; Enslaved persons -- United States -- Biography",African American Writers; Category: Biographies; Category: History - American; Slavery,"""Narrative of the Life of Frederick Douglass, an American Slave"" by Frederick Douglass is a memoir written in 1845. This powerful firsthand account chronicles Douglass's experiences in bondage and his determination to gain freedom. From his early separation from his mother to brutal physical abuse under various masters, Douglass recounts the dehumanizing realities of slavery. His secret pursuit of literacy becomes a turning point, opening his mind to the possibility of escape and fueling his journey toward liberation and self-determination. (This is an automatically generated summary.)",50171,76.90,2006-01-12T00:00:00.000Z,https://www.gutenberg.org/cache/epub/23/pg23.cover.medium.jpg,https://www.gutenberg.org/files/23/23.txt,https://www.gutenberg.org/ebooks/23,
24,O Pioneers!,"Cather, Willa",Domestic fiction; Farm life -- Fiction; Frontier and pioneer life -- Nebraska -- Fiction; Historical fiction; Nebraska -- Fiction; Siblings -- Fiction; Swedish Americans -- Fiction; Women farmers -- Fiction; Women immigrants -- Fiction; Women pioneers -- Fiction,Category: American Literature; Category: Novels,"""O Pioneers!"" by Willa Cather is a novel published in 1913. It follows Alexandra Bergson, a Swedish-American immigrant who inherits her family's Nebraska farmland and fights to build prosperity on the harsh prairie while neighbors abandon their dreams. As the land transforms under her determination, two forbidden romances unfold—one between Alexandra and an old friend, the other between her brother Emil and a married woman—testing loyalty, passion, and the price of survival in an unforgiving frontier. (This is an automatically generated summary.)",1724,90.80,2008-06-27T00:00:00.000Z,https://www.gutenberg.org/cache/epub/24/pg24.cover.medium.jpg,https://www.gutenberg.org/files/24/24.txt,https://www.gutenberg.org/ebooks/24,
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,"Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.; World politics -- Handbooks, manuals, etc.",Category: Encyclopedias/Dictionaries/Reference; CIA World Factbooks,"""The 1991 CIA World Factbook"" by the United States Central Intelligence Agency is a comprehensive scientific publication created during the early 1990s. The material serves as an annual reference for United States government officials, offering detailed statistical information and analysis on various countries and territories around the world, including political, economic, and geographic data.  At the start of the Factbook, there is an introduction outlining the purpose and structure of the publication, emphasizing its utility for government officials and the frameworks for the presentation of data. The opening section includes notes on how to search the directory effectively, followed by a detailed table of contents. The introduction stresses the collaborative nature of the information provided, citing numerous agencies that contributed to the Factbook, and it sets the stage for the in-depth analysis of 247 nations and territories that follows. It highlights critical statistics and elements that shape international relations and provides insight into various countries' demographics, economies, governments, and geographic details. (This is an automatically generated summary.)",1645,26.90,1992-02-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/25/pg25.cover.medium.jpg,https://www.gutenberg.org/files/25/25.txt,https://www.gutenberg.org/ebooks/25,
26,Paradise Lost,"Milton, John",Adam (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry; Eve (Biblical figure) -- Poetry; Fall of man -- Poetry,Category: British Literature; Category: Classics of Literature; Category: Poetry; Category: Religion/Spirituality,"""Paradise Lost"" by John Milton is an epic poem published in 1667. It retells the biblical story of humanity's fall: Satan's rebellion against God, his banishment to Hell, and his vengeful plot to corrupt God's newest creation—mankind. Through the temptation of Adam and Eve in the Garden of Eden, Milton explores themes of free will, obedience, and moral consequence. The poem features one of literature's most complex villains and ends with humanity's expulsion from Paradise, yet offers hope for redemption. (This is an automatically generated summary.)",10962,53.00,1992-02-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/26/pg26.cover.medium.jpg,https://www.gutenberg.org/files/26/26.txt,https://www.gutenberg.org/ebooks/26,
27,Far from the Madding Crowd,"Hardy, Thomas",Didactic fiction; Farm life -- Fiction; Love stories; Pastoral fiction; Triangles (Interpersonal relations) -- Fiction; Wessex (England) -- Fiction; Women farmers -- Fiction,Category: British Literature; Category: Novels,"""Far from the Madding Crowd"" by Thomas Hardy is a novel published in 1874. Set in rural Victorian England, it follows independent Bathsheba Everdene as she navigates complex relationships with three very different men: the faithful shepherd Gabriel Oak, the prosperous farmer William Boldwood, and the dashing Sergeant Frank Troy. Against the backdrop of farm life, the story explores themes of love, honour, and betrayal, as Bathsheba's choices lead to unexpected consequences that will test all involved. (This is an automatically generated summary.)",1283,79.50,1992-03-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/27/pg27.cover.medium.jpg,https://www.gutenberg.org/files/27/27.txt,https://www.gutenberg.org/ebooks/27,
28,"The Fables of Aesop: Selected, Told Anew, and Their History Traced",Aesop,"Aesop's fables -- Adaptations; Fables, Greek -- Adaptations","Category: Children & Young Adult Reading; Category: Classics of Literature; Category: Mythology, Legends & Folklore; Category: Short Stories; Harvard Classics","""The Fables of Aesop"" by Aesop is a collection of fables credited to a storyteller who lived in ancient Greece between 620 and 564 BCE. These short tales feature talking animals and plants that teach moral lessons through simple yet profound scenarios. Originally part of oral tradition, the stories were collected centuries after Aesop's death and have been continuously expanded, translated, and reinterpreted across cultures. The fables address ethical, social, and political themes, offering timeless wisdom through humble incidents that reveal great truths about human nature and behavior. (This is an automatically generated summary.)",2629,84.80,1992-03-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/28/pg28.cover.medium.jpg,https://www.gutenberg.org/files/28/28.txt,https://www.gutenberg.org/ebooks/28,
29,The 1990 United States Census,United States. Bureau of the Census,Housing -- United States -- Statistics; United States -- Census; United States -- Population -- Statistics,Category: Encyclopedias/Dictionaries/Reference; Category: Reports & Conference Proceedings; Category: Sociology,"""The 1990 United States Census"" by the United States Bureau of the Census is a demographic survey conducted in 1990. This nationwide count documented 248,709,873 residents, marking a 9.8 percent population increase from the previous decade. The census introduced new racial categories, including separate classification for Native Hawaiian and Pacific Islander populations. It captured significant demographic shifts, including Los Angeles overtaking Chicago as the nation's second-largest city. The results determined congressional representation and electoral votes for the following decade. (This is an automatically generated summary.)",669,74.80,1992-04-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/29/pg29.cover.medium.jpg,https://www.gutenberg.org/files/29/29.txt,https://www.gutenberg.org/ebooks/29,
30,"The Bible, King James Version, Complete",,Bible,"Category: History - Ancient; Category: Mythology, Legends & Folklore; Category: Religion/Spirituality","""The Bible, King James Version, Complete"" is an Early Modern English translation commissioned in 1604 and published in 1611 under King James VI and I. This monumental work contains 80 books spanning the Old Testament, Apocrypha, and New Testament. Renowned for its majestic style, it has shaped English literature, Christian thought, and everyday language for over four centuries. Created to serve the Church of England and address concerns about existing translations, it became the dominant English Bible by the eighteenth century and remains among the most widely read translations today. (This is an automatically generated summary.)",1979,77.20,1992-04-01T00:00:00.000Z,https://www.gutenberg.org/cache/epub/30/pg30.cover.medium.jpg,https://www.gutenberg.org/files/30/30.txt,https://www.gutenberg.org/ebooks/30,
